,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
5578,China State Construction Engineering Corporation,4.2,129,Engineering & Construction,Beijing +25 more,51-200 Employees
5579,Tulip Diagnostics,4.4,129,Medical Equipment,Goa +35 more,1k-5k Employees
5580,Ford Motor Credit Company,4.0,129,Financial Services,Dearborn +13 more,10k-50k Employees
5581,nurture.farm,3.1,129,Agriculture,Bangalore/Bengaluru +35 more,201-500 Employees
5582,Teamlease Digital,3.3,129,Recruitment,Bangalore +15 more,5k-10k Employees
5583,Atidan Technologies,4.2,129,Software Product,Mumbai +5 more,51-200 Employees
5584,SPRAY ENGINEERING DEVICES,4.3,128,Industrial Machinery,Mohali +5 more,201-500 Employees
5585,Schreiber Dynamix Dairies,4.4,128,Electronics Manufacturing,Mumbai +7 more,501-1k Employees
5586,Ramraj Cotton,3.9,128,Fashion & Textile,Tirupur/Tiruppur +17 more,201-500 Employees
5587,EVIO,4.1,128,Power,Mumbai +10 more,51-200 Employees
5588,John Energy,4.0,128,Oil & Gas,Ahmedabad +10 more,1k-5k Employees
5589,Bygging India,4.1,128,Engineering & Construction,Mumbai +23 more,201-500 Employees
5590,Moody's,4.2,128,Analytics & KPO,New York +4 more,1k-5k Employees
5591,Cosmos Impex,3.9,128,Industrial Machinery,Vadodara +20 more,501-1k Employees (Global)
5592,Camp K-12,3.0,128,EdTech,Gurgaon +5 more,51-200 Employees
5593,Fabtech Projects & Engineers,3.7,128,Engineering & Construction,Pune +13 more,201-500 Employees
5594,bebo Technologies,3.2,128,IT Services & Consulting,Chandigarh +6 more,501-1k Employees
5595,Shimizu,3.8,128,Engineering & Construction,Chuo-ku +14 more,51-200 Employees
5596,Selectsys,3.6,128,BPO,Knoxville,51-200 Employees
5597,Sagitec Solutions,3.7,128,IT Services & Consulting,Saint Paul +3 more,51-200 Employees
5598,Gangavaram Port,3.5,128,Ports & Shipping,Visakhapatnam +5 more,1k-5k Employees
5599,Kesari Tours,3.8,128,Travel & Tourism,Mumbai +11 more,501-1k Employees
5600,Synergy Maritime,3.9,128,Ports & Shipping,Singapore +10 more,1k-5k Employees
5601,Bodal Chemicals,3.4,128,Chemicals / Agri Inputs,Ahmedabad +16 more,201-500 Employees
